College,Name,Jersey,Position,Class Year,Height,Weight,B/T,High School,Hometown,Season
University of Minnesota,Jake Larson,1,INF,Sr.,72,200,R/R,Kentlake,"Covington, Wash.",2025
University of Minnesota,Easton Richter,2,INF/RHP,Jr.,74,L/R,N/A,Rosemount,"Rosemount, MN",2025
University of Minnesota,Preston Leon,3,OF,R-Jr.,71,S/R,N/A,Dakota High School (Macomb),"Macomb, MI.",2025
University of Minnesota,Jack Mosh,4,INF,Jr.,70,180,L/R,St. Pius X,"Kansas City, MO",2025
University of Minnesota,Kris Hokenson,6,OF/LHP,Jr.,72,180,L/L,St. Louis Park,"St. Louis Park, Minn.",2025
University of Minnesota,Jack Spanier,7,INF,So.,72,180,R/R,Rocori,"Cold Spring, Minn.",2025
University of Minnesota,Jameson Martin,8,INF,Fr.,71,180,R/R,St. Lawrence,"Westchester, Ill",2025
University of Minnesota,Parker Knoll,9,OF,Sr.,72,220,R/R,Fox Valley Lutheran,"Appleton, WI.",2025
University of Minnesota,Sam Hunt,10,C,R-Jr.,74,205,S/R,IMG Academy,"Minneapolis, Minn.",2025
University of Minnesota,Landen Lozier,12,INF,So.,70,170,L/R,Notre Dame Academy,"Green Bay, WI",2025
University of Minnesota,Cole Selvig,13,RHP,So.,72,205,R/R,Regis Catholic,"Eau Claire, WI.",2025
University of Minnesota,Drew Berkland,15,OF/C,Jr.,72,190,R/R,Wayzata,"Wayzata, Minn.",2025
University of Minnesota,Josh Fitzgerald,16,OF,R-Sr.,72,190,R/R,Newman Catholic,"Mason City, Iowa",2025
University of Minnesota,Luke Ryerse,17,RHP,Fr.,73,218,R/R,East Ridge High School,"Woodbury, Minn",2025
University of Minnesota,Jack Taxdahl,19,C,So.,70,190,R/R,Cretin-Derham Hall,"Prior Lake, Minn.",2025
University of Minnesota,Kyle Remington,20,RHP/INF,So.,72,165,L/R,Grand Rapids Christian,"Grand Rapids, Mich.",2025
University of Minnesota,Jonathan Dobis,21,RHP/OF,Fr.,72,180,R/R,St. Thomas Academy,"Eagan, Minn.",2025
University of Minnesota,Weber Neels,22,C/INF,Jr.,73,210,R/R,East Ridge,"Cottage Grove, Minn.",2025
University of Minnesota,Jake Quinn,23,OF,Fr.,75,190,L/R,Cretin Derham-Hall,"St. Paul, Minn",2025
University of Minnesota,Jake Perry,27,INF,Sr.,76,205,L/R,Hopkins,"Hopkins, Minn.",2025
University of Minnesota,Caden Capomaccio,28,RHP,Jr.,73,185,R/R,Notre Dame Academy,"Green Bay, Wis.",2025
University of Minnesota,Brayden Hellum,29,OF,So.,68,190,L/L,Stillwater,"Stillwater, MN",2025
University of Minnesota,Seth Clausen,30,RHP,Sr.,73,210,R/R,Pleasant Valley,"Bettendorf, Iowa",2025
University of Minnesota,Joe Sperry,33,RHP/DH,Jr.,74,R/R,N/A,Rochester Lourdes,"Rochester, MN",2025
University of Minnesota,Jake Elbeery,35,INF,Sr.,76,225,L/R,Austin Prep,"North Andover, MA",2025
University of Minnesota,Parker Lewin,37,RHP/OF,So.,73,175,L/R,Orono,"Minnetrista, Minn.",2025
University of Minnesota,Adam Urban,38,RHP,Fr.,72,N/A,N/A,Wauwatosa West,"Wauwatosa, WI.",2025
University of Minnesota,Nick Argento,39,RHP,R-So.,78,225,R/R,Wayzata HS,"Wayzata, Minn.",2025
University of Minnesota,Tyler Hemmesch,40,RHP,So.,73,195,R/R,Sartell,"Sartell, Minn.",2025
University of Minnesota,Charlie Sutherland,41,INF/OF,So.,74,200,L/R,Duluth East,"Duluth, Minn.",2025
University of Minnesota,Eli Sundquist,43,RHP,Gr.,73,N/A,N/A,Utah Valley State,"Chisholm, MN",2025
University of Minnesota,Hunter Cook,44,RHP,Fr.,74,180,R/R,North Polk,"Polk City, IA",2025
University of Minnesota,Noah Rooney,46,LHP,R-Jr.,72,170,L/L,Perham,"Perham, Minn.",2025
University of Minnesota,Simon Skroch,47,LHP,Fr.,73,175,L/L,Yorkville High School,"Yorkville, Ill.",2025
University of Minnesota,Justin Thorsteinson,51,LHP,R-Sr.,76,233,N/A,Langley Secondary School,"Richmond, B.C., Canada",2025
University of Minnesota,Will Whelan,54,LHP,So.,74,195,L/L,Centennial,"Lino Lakes, Minn.",2025
Texas A&M University,Jamal George,1,UTIL,Jr.,71,185,R/R,International Baseball Academy,"Trujillo, P.R.",2025
Texas A&M University,Jacob Galloway,2,C,Jr.,69,180,L/R,Harvard Westlake,"Camarillo, Calif.",2025
